operator_name,task_type,call_count,kernel_duration_total_us,kernel_duration_total_ms,kernel_duration_avg_us,wait_time_total_us,wait_time_avg_us,total_cost_us,step_kernel_share_percent
aclnnEmbeddingDenseBackward_EmbeddingDenseGradV2_MemSet,AI_CORE,2,13.660000,0.013660,6.830000,0.240000,0.120000,13.900000,0.000708295
SigmoidFocalLoss2,AI_CORE,4,13.220000,0.013220,3.305000,505.860000,126.465000,519.080000,0.000685480
aclnnAdd_BroadcastToAiCore_BroadcastTo,AI_CORE,1,11.759000,0.011759,11.759000,0.000000,0.000000,11.759000,0.000609725
aclnnRepeatInterleaveIntWithDim_CastAiCore_Cast,AI_CORE,8,10.700000,0.010700,1.337500,2.420000,0.302500,13.120000,0.000554814
aclnnNanToNum_TensorMoveAiCore_TensorMove,AI_CORE,1,9.600000,0.009600,9.600000,0.180000,0.180000,9.780000,0.000497777
aclnnNeScalar_NotEqualAiCore_NotEqual,AI_CORE,4,8.300000,0.008300,2.075000,0.221000,0.055250,8.521000,0.000430369
aclnnLogicalAnd_LogicalAndAiCore_LogicalAnd,AI_CORE,1,8.260000,0.008260,8.260000,14.180000,14.180000,22.440000,0.000428295
aclnnStack_ConcatD_ConcatD,AI_CORE,1,8.199000,0.008199,8.199000,73.050000,73.050000,81.249000,0.000425132
aclnnInplaceLogicalAnd_LogicalAndAiCore_LogicalAnd,AI_CORE,1,6.960000,0.006960,6.960000,14.510000,14.510000,21.470000,0.000360888
aclnnMatmul_SliceAiCore_Slice,AI_CORE,2,6.300000,0.006300,3.150000,659.151000,329.575500,665.451000,0.000326666
aclnnUpsampleBilinear2d_CastAiCore_Cast,AI_CORE,4,5.400000,0.005400,1.350000,1.159000,0.289750,6.559000,0.000279999
aclnnFloorDivides_FloorDivAiCore_FloorDiv,AI_CORE,4,5.080000,0.005080,1.270000,67.860000,16.965000,72.940000,0.000263407
aclnnRepeatInterleaveIntWithDim_BroadcastToAiCore_BroadcastTo,AI_CORE,4,4.360000,0.004360,1.090000,58.020000,14.505000,62.380000,0.000226074
aclnnProdDim_ReduceProdAICore_ReduceProd,AI_CORE,1,2.780000,0.002780,2.780000,116.130000,116.130000,118.910000,0.000144148
aclnnEmbeddingDenseBackward_CastAiCore_Cast,AI_CORE,2,2.760000,0.002760,1.380000,1.170000,0.585000,3.930000,0.000143111
aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,AI_CORE,2,2.540000,0.002540,1.270000,7.004000,3.502000,9.544000,0.000131703
aclnnReciprocal_ReciprocalAiCore_Reciprocal,AI_CORE,1,1.380000,0.001380,1.380000,0.680000,0.680000,2.060000,0.000071555
